任务编号,任务名称,优先级,预计工期 (小时),任务描述,验收标准,当前状态,数据源
Task 1.1,数据库解析模块,P0,6,文件：backend/app/services/rock_params_db.py。支持UTF-8和GBK编码，构建岩性、矿名索引。,数据读取成功率 > 95%，索引查询响应 < 10ms。,已完成,1
Task 1.2,岩性同义词映射,P1,2,"建立岩性同义词映射表，处理""粉砂岩""/""粉砂质泥岩""等相似名称。",覆盖数据库中95%的岩性名称，匹配准确率 > 90%。,已完成,1
Task 1.3,参数查询接口,P0,4,实现按岩性查询接口，实现参数统计功能。,支持精确匹配和同义词模糊匹配，查询响应 < 10ms。,已完成,1
Task 1.4,缺失参数处理,P0,7,建立默认参数库，实现参数估算算法。,覆盖所有主要岩性（>20种），估算成功率 > 95%。,已完成,1
Task 2.1,创建MPI计算模块,P0,1,文件：backend/app/services/mpi_calculator.py。定义数据结构和类型注解。,文件创建完成，类型注解完整。,已完成,1
Task 2.2,关键层识别算法,P0,3,基于抗压强度、厚度、弹性模量识别关键层。,正确识别关键层，单元测试通过。,已完成,1
Task 2.3,顶板稳定性指标 (RSI),P0,4,计算RSI：抗拉强度评分(40%) + 关键层数量评分(30%) + 岩层结构评分(30%)。,返回值范围 1，单元测试覆盖率 > 90%。,已完成,1-3
Task 2.4,冲击地压风险指标 (BRI),P0,4,计算BRI：采深度因子(最大40分) + 硬厚岩层能量积聚(最大30分) + 煤层厚度影响(最大30分)。,返回值范围 1，单元测试通过。,已完成,1-3
Task 2.5,支承压力分布指标 (ASI),P0,3,计算ASI：综合刚度评分(50%) + 内摩擦角评分(50%)。,返回值范围 1，单元测试通过。,已完成,1-3
Task 2.6,综合MPI计算,P0,5,加权综合三个子指标（RSI/BRI/ASI），实现批量计算接口。,加权计算正确，100点计算时间 < 5s，支持自定义权重。,已完成,1
Task 2.7,单元测试,P0,4,测试文件：tests/test_mpi_calculator.py。覆盖率目标：> 80%。,测试覆盖率 > 80%，所有测试通过。,已完成,1
Task 3.1,创建MPI路由,P0,1,文件交付物：backend/app/routes/mpi.py。,路由文件创建成功。,已完成,1
Task 3.2,单点计算API,P0,2,实现MPI单点计算接口。,响应时间 < 100ms。,已完成,1
Task 3.3,批量计算API,P1,2,实现MPI批量计算接口。,100点批量计算 < 5s。,已完成,1
Task 3.4,插值网格API,P1,3,实现MPI插值网格计算接口。,50x50网格计算 < 3s。,已完成,1
Task 3.5,参数查询API,P1,2,实现地质参数查询接口。,接口调用正常。,已完成,1
Task 3.6,权重配置API,P2,2,实现MPI权重配置接口。,支持自定义权重保存与读取。,已完成,1
Task 3.7,矿压指标页面MPI选项卡,P0,4,在frontend/src/views/PressureIndex.vue中：新增MPI选项卡、复用等值线组件、增加分项指标切换与权重滑块。,MPI选项卡正常显示，切换响应 < 500ms，等值线渲染正确。,已完成,1
Task 3.8,来压步距页面MPI内容,P1,2,在frontend/src/views/Steps.vue中：显示当前MPI值分布，根据MPI高低给出步距调整建议。,步距页面正常展示MPI内容及建议。,已完成,1
Task 3.9,结果报告页面MPI章节,P1,2,在frontend/src/views/Report.vue中：增加MPI综合评分、RSI/BRI/ASI分项得分及高/低MPI区域标注。,报告中MPI相关章节内容完整、正确。,已完成,1
Task 3.10,前后端联调,P0,3,对接前后端接口，确保数据流闭环。,所有API调用正常，数据展示正确，无控制台错误。,已完成,1
Task 4.1,真实数据验证,P0,4,"至少对3个钻孔（如52-17, 56-18, 60-18）进行MPI验证，以液压支架工作阻力数据作为对照基准。",偏差 < 15%。,进行中,1
Task 4.2,权重敏感性分析,P1,3,测试不同权重组合对结果的影响。,测试5+组权重组合，确定推荐配置。,待开始,1
Task 4.3,性能优化,P1,3,计算结果缓存机制实现。,缓存命中率 > 70%。,待开始,1
Task 4.4,API文档,P0,3,交付物：docs/MPI_API.md。,文档内容详实，覆盖所有新接口。,待开始,1
Task 4.5,用户手册,P1,3,交付物：docs/MPI用户手册.md。,包含MPI功能说明、操作指引与评价标准解释。,待开始,1